period,entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,pnl_1c
train,2007-01-25 14:45:00,2007-01-29 17:02:00,188915.0,184740.0,12,-50100.0,signal_reverse,-4175.0
train,2007-02-01 14:36:00,2007-02-08 17:43:00,188360.0,187900.0,12,-5520.0,signal_reverse,-460.0
train,2007-02-09 14:38:00,2007-02-09 15:43:00,188595.0,188450.0,11,-1595.0,signal_reverse,-145.0
train,2007-02-14 14:45:00,2007-02-19 18:44:00,188720.0,190100.0,10,13800.0,signal_reverse,1380.0
train,2007-02-22 18:44:00,2007-02-27 17:41:00,194150.0,189700.0,15,-66750.0,signal_reverse,-4450.0
train,2007-03-23 14:53:00,2007-04-18 17:59:00,188605.0,193700.0,9,45855.0,signal_reverse,5095.0
train,2007-04-20 17:48:00,2007-04-23 15:45:00,194590.0,194200.0,13,-5070.0,signal_reverse,-390.0
train,2007-04-23 17:47:00,2007-04-24 14:35:00,194950.0,193140.0,13,-23530.0,signal_reverse,-1810.0
train,2007-06-18 14:31:00,2007-07-16 14:31:00,192500.0,208490.0,12,191880.0,signal_reverse,15990.0
train,2007-08-31 17:29:00,2007-08-31 17:59:00,192900.0,191990.0,13,-11830.0,signal_reverse,-910.0
train,2007-09-03 14:29:00,2007-09-03 15:29:00,192945.0,191800.0,14,-16030.0,signal_reverse,-1145.0
train,2007-09-06 17:29:00,2007-09-07 14:29:00,193025.0,191285.0,17,-29580.0,signal_reverse,-1740.0
train,2007-09-18 14:29:00,2007-10-03 14:29:00,195350.0,214000.0,18,335700.0,signal_reverse,18650.0
train,2007-10-25 14:34:00,2007-10-25 17:59:00,217115.0,216050.0,15,-15975.0,signal_reverse,-1065.0
train,2007-10-26 14:34:00,2007-11-14 14:34:00,219230.0,224730.0,14,77000.0,signal_reverse,5500.0
train,2007-11-14 16:34:00,2007-11-15 14:34:00,225680.0,224485.0,11,-13145.0,signal_reverse,-1195.0
train,2007-12-05 14:34:00,2007-12-10 11:29:00,225190.0,229300.0,14,57540.0,expiration,4110.0
train,2007-12-18 14:34:00,2007-12-25 17:34:00,233845.0,233800.0,9,-405.0,signal_reverse,-45.0
train,2008-01-14 14:34:00,2008-01-15 17:59:00,236450.0,235380.0,16,-17120.0,signal_reverse,-1070.0
train,2008-02-18 15:32:00,2008-02-19 14:32:00,204170.0,203585.0,7,-4095.0,signal_reverse,-585.0
train,2008-02-19 15:32:00,2008-03-03 14:32:00,205055.0,200500.0,9,-40995.0,signal_reverse,-4555.0
